,startx,endx,starty,endy,naive,vectorized,multiprocessing
320,46,102,104,44,1.320234114,1.320234114,1.320234114
321,46,127,101,47,1.61310805,1.61310805,1.61310805
322,49,120,107,57,1.490844936,1.490844936,1.490844936
323,52,106,118,57,1.260756193,1.260756193,1.260756193
324,55,112,100,49,1.263181818,1.263181818,1.263181818
325,59,125,112,49,1.278072034,1.278072034,1.278072034
326,42,101,127,46,1.383483315,1.383483315,1.383483315
327,40,118,101,52,1.732425743,1.732425743,1.732425743
328,44,111,119,49,1.467245989,1.467245989,1.467245989
329,58,113,116,60,1.232758621,1.232758621,1.232758621
330,59,104,129,46,1.059650506,1.059650506,1.059650506
331,56,106,116,41,1.123152709,1.123152709,1.123152709
332,55,100,117,51,1.127039627,1.127039627,1.127039627
333,42,118,117,43,1.588522589,1.588522589,1.588522589
334,55,110,119,58,1.243697479,1.243697479,1.243697479
335,41,108,127,53,1.525734588,1.525734588,1.525734588
336,57,122,117,49,1.279577148,1.279577148,1.279577148
337,45,119,126,45,1.500793651,1.500793651,1.500793651
338,43,126,123,43,1.639913027,1.639913027,1.639913027
339,40,104,103,57,1.576699029,1.576699029,1.576699029
340,43,104,117,55,1.444345061,1.444345061,1.444345061
341,55,113,112,45,1.228165584,1.228165584,1.228165584
342,47,115,130,50,1.415711948,1.415711948,1.415711948
343,59,118,111,54,1.243243243,1.243243243,1.243243243
344,45,100,120,50,1.319444444,1.319444444,1.319444444
345,40,123,119,56,1.772794118,1.772794118,1.772794118
346,42,117,122,56,1.62236534,1.62236534,1.62236534
347,55,111,108,58,1.277609428,1.277609428,1.277609428
348,58,116,109,48,1.220183486,1.220183486,1.220183486
349,59,103,126,49,1.0673258,1.0673258,1.0673258
350,57,106,112,47,1.13964599,1.13964599,1.13964599
351,51,125,103,51,1.473063012,1.473063012,1.473063012
352,48,127,130,53,1.526762821,1.526762821,1.526762821
353,49,112,114,51,1.366541353,1.366541353,1.366541353
354,46,127,122,49,1.581254455,1.581254455,1.581254455
355,55,125,117,60,1.392773893,1.392773893,1.392773893
356,55,103,105,60,1.222077922,1.222077922,1.222077922
357,55,122,124,47,1.298607038,1.298607038,1.298607038
358,44,127,119,58,1.686879297,1.686879297,1.686879297
359,60,118,106,60,1.266352201,1.266352201,1.266352201
360,41,114,130,59,1.617166979,1.617166979,1.617166979
361,60,116,115,51,1.188405797,1.188405797,1.188405797
362,55,116,112,53,1.291152597,1.291152597,1.291152597
363,60,115,122,45,1.142759563,1.142759563,1.142759563
364,49,130,120,40,1.493197279,1.493197279,1.493197279
365,46,128,118,51,1.607406043,1.607406043,1.607406043
366,48,110,119,43,1.326505602,1.326505602,1.326505602
367,45,116,127,50,1.485739283,1.485739283,1.485739283
368,47,128,116,41,1.538426266,1.538426266,1.538426266
369,53,109,122,44,1.208629756,1.208629756,1.208629756
370,45,111,107,45,1.443613707,1.443613707,1.443613707
371,52,123,109,47,1.398288638,1.398288638,1.398288638
372,46,112,102,40,1.413469736,1.413469736,1.413469736
373,55,100,119,53,1.131779985,1.131779985,1.131779985
374,52,114,125,48,1.288153846,1.288153846,1.288153846
375,58,102,121,40,1.044599601,1.044599601,1.044599601
376,56,108,130,54,1.171978022,1.171978022,1.171978022
377,41,124,105,58,1.788385598,1.788385598,1.788385598
378,47,120,117,55,1.51163848,1.51163848,1.51163848
379,40,109,121,50,1.56911157,1.56911157,1.56911157
380,50,130,127,40,1.457480315,1.457480315,1.457480315
381,41,110,122,44,1.521791283,1.521791283,1.521791283
382,60,114,103,43,1.158737864,1.158737864,1.158737864
383,46,123,111,54,1.580199765,1.580199765,1.580199765
384,44,120,103,53,1.620917917,1.620917917,1.620917917
385,49,114,100,49,1.408265306,1.408265306,1.408265306
386,47,111,108,42,1.375295508,1.375295508,1.375295508
387,45,108,122,50,1.404918033,1.404918033,1.404918033
388,50,101,116,41,1.186724138,1.186724138,1.186724138
389,42,115,120,40,1.535714286,1.535714286,1.535714286
390,43,129,121,49,1.702479339,1.702479339,1.702479339
391,54,107,103,56,1.262585401,1.262585401,1.262585401
392,43,122,118,46,1.613519905,1.613519905,1.613519905
393,47,112,105,58,1.467679838,1.467679838,1.467679838
394,53,104,103,49,1.218996153,1.218996153,1.218996153
395,46,123,114,50,1.556254767,1.556254767,1.556254767
396,51,107,114,45,1.246388029,1.246388029,1.246388029
397,44,128,120,44,1.637878788,1.637878788,1.637878788
398,57,113,102,48,1.226522188,1.226522188,1.226522188
399,56,105,107,54,1.189836449,1.189836449,1.189836449
400,59,119,100,54,1.278474576,1.278474576,1.278474576
401,44,123,123,59,1.637564671,1.637564671,1.637564671
402,47,119,129,50,1.459755896,1.459755896,1.459755896
403,42,125,114,41,1.667919799,1.667919799,1.667919799
404,45,106,124,50,1.379390681,1.379390681,1.379390681
405,53,104,118,58,1.226894787,1.226894787,1.226894787
406,59,117,101,46,1.219248196,1.219248196,1.219248196
407,58,113,119,54,1.201028687,1.201028687,1.201028687
408,58,115,103,52,1.243806495,1.243806495,1.243806495
409,40,111,111,47,1.599211712,1.599211712,1.599211712
410,40,111,129,60,1.62005814,1.62005814,1.62005814
411,54,125,112,57,1.411871693,1.411871693,1.411871693
412,53,123,121,43,1.338063309,1.338063309,1.338063309
413,55,129,119,43,1.353399542,1.353399542,1.353399542
414,51,126,111,44,1.433492316,1.433492316,1.433492316
415,49,125,106,60,1.558529072,1.558529072,1.558529072
416,58,124,122,56,1.298473714,1.298473714,1.298473714
417,41,116,121,58,1.654303568,1.654303568,1.654303568
418,57,112,128,53,1.18948739,1.18948739,1.18948739
419,46,130,116,59,1.667353823,1.667353823,1.667353823
420,59,119,102,53,1.268278498,1.268278498,1.268278498
421,45,120,116,57,1.579022989,1.579022989,1.579022989
422,48,129,125,51,1.54775,1.54775,1.54775
423,44,113,102,54,1.548796791,1.548796791,1.548796791
424,58,123,123,50,1.26359686,1.26359686,1.26359686
425,45,101,126,42,1.288888889,1.288888889,1.288888889
426,42,115,104,56,1.638278388,1.638278388,1.638278388
427,44,125,112,58,1.679383117,1.679383117,1.679383117
428,57,108,118,60,1.201605709,1.201605709,1.201605709
429,53,102,129,40,1.117302911,1.117302911,1.117302911
430,49,118,121,46,1.394164277,1.394164277,1.394164277
431,54,112,116,54,1.269795658,1.269795658,1.269795658
432,47,121,121,41,1.45665553,1.45665553,1.45665553
433,45,127,121,40,1.576400367,1.576400367,1.576400367
434,55,119,100,43,1.296818182,1.296818182,1.296818182
435,47,110,126,40,1.328942925,1.328942925,1.328942925
436,56,110,122,48,1.178864169,1.178864169,1.178864169
437,46,117,130,53,1.475585284,1.475585284,1.475585284
438,42,105,128,57,1.47265625,1.47265625,1.47265625
439,45,101,110,43,1.317676768,1.317676768,1.317676768
440,48,125,118,50,1.51394774,1.51394774,1.51394774
441,56,106,114,60,1.209586466,1.209586466,1.209586466
442,59,114,118,54,1.194915254,1.194915254,1.194915254
443,50,102,129,44,1.190542636,1.190542636,1.190542636
444,42,119,122,41,1.584699454,1.584699454,1.584699454
445,42,117,130,53,1.596703297,1.596703297,1.596703297
446,57,128,104,45,1.339153171,1.339153171,1.339153171
447,55,128,117,45,1.355944056,1.355944056,1.355944056
448,50,129,116,43,1.475344828,1.475344828,1.475344828
449,43,119,106,52,1.629003949,1.629003949,1.629003949
450,59,105,111,42,1.079019698,1.079019698,1.079019698
451,50,100,108,55,1.25462963,1.25462963,1.25462963
452,49,126,126,48,1.476190476,1.476190476,1.476190476
453,45,129,110,49,1.656060606,1.656060606,1.656060606
454,54,120,112,41,1.294146825,1.294146825,1.294146825
455,57,104,109,47,1.127877032,1.127877032,1.127877032
456,60,109,109,41,1.096406728,1.096406728,1.096406728
457,44,120,129,43,1.53030303,1.53030303,1.53030303
458,44,111,110,49,1.484090909,1.484090909,1.484090909
459,45,121,115,50,1.561835749,1.561835749,1.561835749
460,48,106,127,41,1.26558399,1.26558399,1.26558399
461,49,112,129,50,1.336655592,1.336655592,1.336655592
462,41,107,117,46,1.501459245,1.501459245,1.501459245
463,47,109,105,59,1.440526849,1.440526849,1.440526849
464,50,128,101,41,1.482970297,1.482970297,1.482970297
465,57,124,118,43,1.269922688,1.269922688,1.269922688
466,42,127,129,45,1.686323367,1.686323367,1.686323367
467,57,123,105,42,1.278947368,1.278947368,1.278947368
468,58,123,104,47,1.286306366,1.286306366,1.286306366
469,42,121,114,56,1.686090226,1.686090226,1.686090226
470,59,103,112,54,1.113952785,1.113952785,1.113952785
471,46,116,105,47,1.484679089,1.484679089,1.484679089
472,45,108,127,53,1.408661417,1.408661417,1.408661417
473,52,127,105,55,1.483058608,1.483058608,1.483058608
474,54,127,124,57,1.405764636,1.405764636,1.405764636
475,57,111,100,56,1.253684211,1.253684211,1.253684211
476,49,124,124,50,1.466919026,1.466919026,1.466919026
477,49,108,110,41,1.288404453,1.288404453,1.288404453
478,50,114,109,55,1.392293578,1.392293578,1.392293578
479,59,110,122,57,1.165809947,1.165809947,1.165809947
480,59,101,119,59,1.103831363,1.103831363,1.103831363
481,49,101,108,44,1.234315949,1.234315949,1.234315949
482,57,107,102,60,1.232714138,1.232714138,1.232714138
483,53,129,108,57,1.480870021,1.480870021,1.480870021
484,48,121,107,43,1.461351246,1.461351246,1.461351246
485,56,103,119,53,1.142331933,1.142331933,1.142331933
486,59,115,101,59,1.266655479,1.266655479,1.266655479
487,43,125,129,59,1.682170543,1.682170543,1.682170543
488,58,116,102,56,1.274509804,1.274509804,1.274509804
489,51,129,127,57,1.489115331,1.489115331,1.489115331
